"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS006913","TX2150100BWC","Breckenridge","Stephens County","TX","Breckenridge Police Department","Police","The Breckenridge Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006914","TX0290000BWC","Port Lavaca","Calhoun County","TX","Calhoun County Sheriff's Office","Sheriff","The Calhoun County Sheriff's Office uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","County","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006915","TX0710100BWC","Anthony","El Paso County","TX","Anthony Police Department","Police","The Anthony Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006916","MI2262600BWC","Norway","Dickinson County","MI","Norway Police Department","Police","The Norway Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006918","NM0230300BWC","Corrales","Sandoval County","NM","Corrales Police Department","Police","The Corrales Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006919","IN0180800BWC","Daleville","Delaware County","IN","Daleville Police Department","Police","The Daleville Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006920","XX0000096BWC","Cross Roads","Denton County","TX","Denton County Constables","Constables","The Denton County Constables use Wolfcom body-worn cameras, according to a testimonial on the company's website.","County","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006921","TN0220100BWC","Dickson","Dickinson County","TN","Dickson Police Department","Police","The Dickson Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006922","TX1710100BWC","Dumas","Moore County","TX","Dumas Police Department","Police","The Dumas Police Department uses Axon body-worn cameras. Previously they used Wolfcom BWCs.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo?fbid=1020845180068452&set=pcb.1020845443401759","","Dumas Police Department Facebook","","2/11/2025","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020",""
"AOS006923","OR0150700BWC","Eagle Point","Jackson County","OR","Eagle Point Police Department","Police","The Eagle Point Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006924","WV0100200BWC","Fayetteville","Fayette County","WV","Fayetteville Police Department","Police","The Fayetteville Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006925","OH0540500BWC","Fort Recovery","Mercer County","OH","Fort Recovery Police Department","Police","The Fort Recovery Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
"AOS006926","AL0281100BWC","Fyffe","DeKalb County","AL","Fyffe Police Department","Police","The Fyffe Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.","Municipal","Body-worn Cameras","","Wolfcom","https://wolfcomusa.com/police-body-camera-testimonials/","","Wolfcom","","","https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0","","OneZero","","03/04/2020","","","","","",""
